21 1 679.68 34.24 -1.069 29.02 -0.718 51.15 -0.104 35.22 -0.41 51.72 -0.08 38.84 -0.217 105.95 1.029 70.14 0.79 141.54 1.486 120.86 1.767 182.24 1.729 140.4 1.657 195.35 1.664 160.39 1.805 5 0.22 2 6 0 6 -0.14 6 -0.01 2 4 5 -0.29 3 5 1 2 3 2 4 2 4 -1.28 -0.92 -0.06 -0.42 -0.66 0.09 -0.4 -0.52 0.23 0.6 0.31 0.49 0.95 1.05 0.08 1.41 1.37 0.54 1.66 1.8 1.61
22 2 709.63 30.69 -1.318 20.65 -1.313 41.57 -0.575 32.51 -0.533 47.83 -0.223 30.01 -0.662 76.42 0.603 51 0.271 150.39 1.64 107.71 1.508 171.43 1.565 128.72 1.379 191.32 1.57 152.24 1.601 5 1.09 2 5 0.94 5 0.85 5 0.81 1 3 5 0.48 3 14 11 2 6 0 0 4 6 -1.52 -1.41 -0.59 -0.84 -0.77 -0.12 -0.54 -0.88 0.02 0.21 -0.12 0.37 1.03 0.85 -0.58 1.26 1.17 0.29 1.57 1.6 1.1
23 2 616.36 34.28 -1.066 26.36 -0.881 46.66 -0.272 38.69 -0.242 49.72 -0.172 36.32 -0.341 69.61 0.453 57.84 0.478 137.7 1.448 123.39 1.729 165.82 1.454 140.98 1.653 184.85 1.451 146.96 1.492 4 0.28 2 6 0.03 4 -0.11 4 -0.01 0 3 4 -0.14 2 6 3 2 3 1 2 8 3 -1.28 -1.06 -0.56 -0.59 -0.52 0.07 -0.47 -0.61 0.03 0.08 0.06 0.61 0.91 1.08 -0.18 1.2 1.38 0.1 1.45 1.49 1.69
24 1 679.68 29.24 -1.458 28 -0.778 46.67 -0.291 40.19 -0.153 50.78 -0.123 39.18 -0.193 56 0.047 53.61 0.35 110.37 1.194 110.49 1.521 181.63 1.741 141.55 1.7 187.33 1.493 157.7 1.73 9 1.86 2 9 1.84 9 1.91 9 1.87 1 4 9 1.34 2 3 1 1 2 2 7 1 1 -1.62 -0.97 0.24 -0.59 -0.47 0.48 -0.43 -0.5 0.52 -0.26 -0.05 1.11 0.65 0.89 0.45 1.4 1.39 0.76 1.49 1.73 1.69
25 2 651.75 37.27 -0.857 27.99 -0.778 49.09 -0.181 42.05 -0.076 50.42 -0.145 38.65 -0.225 88.85 0.81 66.34 0.715 140 1.415 95.63 1.28 150.29 1.277 129 1.452 181.32 1.396 141.84 1.395 5 0.5 1 5 -0.34 7 0.1 7 0.14 2 4 7 0.15 2 4 1 2 4 0 0 1 1 -1.09 -0.97 -0.13 -0.49 -0.4 0.31 -0.44 -0.52 0.58 0.4 0.24 0.68 0.93 0.69 -0.62 1.03 1.17 -0.52 1.4 1.4 0.5
26 2 651.75 31.03 -1.296 28.61 -0.742 46.02 -0.326 36.53 -0.303 48.47 -0.2 35.7 -0.34 66.5 0.385 60.4 0.553 123.04 1.199 103.82 1.394 127.93 1.059 132.19 1.488 162.72 1.16 139.81 1.358 5 -0.32 2 5 -0.42 5 -0.45 5 -0.53 1 4 5 -0.63 1 2 1 5 5 1 1 0 0 -1.49 -0.94 -0.2 -0.62 -0.6 -0.16 -0.52 -0.64 0.18 0.01 0.11 0.45 0.77 0.8 -0.84 0.82 1.23 -0.47 1.16 1.36 0.77
27 1 747.26 32.06 -1.224 33.02 -0.501 51.6 -0.064 41.58 -0.095 49.21 -0.185 47.27 0.13 65.65 0.342 67.93 0.749 153.59 1.687 114.37 1.585 165.64 1.438 129.56 1.447 176.11 1.323 156.13 1.691 6 0.5 2 6 0.44 6 0.36 6 0.33 1 4 6 0.3 3 15 10 4 4 2 4 4 6 -1.43 -0.75 0.26 -0.4 -0.42 0.42 -0.49 -0.23 0.68 -0.01 0.27 0.81 1.06 0.95 -0.26 1.19 1.18 0.84 1.32 1.69 1.42
28 1 747.26 33.77 -1.103 31.74 -0.56 44.61 -0.4 45.16 0.05 49.92 -0.151 59.46 0.532 65.78 0.355 97.07 1.285 131.33 1.422 132.66 1.951 168.14 1.555 154.7 2.014 170.23 1.247 167.9 2.108 6 0.3 2 6 0.28 6 0.14 8 0.33 2 5 8 0.3 3 3 1 1 3 2 2 2 2 -1.31 -0.8 0.05 -0.69 -0.3 0.26 -0.46 0.09 0.49 -0.01 0.71 1.34 0.85 1.23 -0.2 1.22 1.66 0.27 1.25 2.11 1.92
29 2 640.79 39.39 -0.713 28.73 -0.71 55.12 0.034 45.26 0.053 66.98 0.38 52.59 0.319 104.03 0.976 73.55 0.856 172.68 1.909 119.51 1.678 163.78 1.399 144.01 1.734 198.03 1.74 168.28 2.132 6 0.53 2 6 0.55 6 0.49 6 0.57 1 4 7 0.68 2 7 2 0 0 0 0 4 6 -0.97 -0.94 0.07 -0.29 -0.29 0.35 0.02 -0.08 0.46 0.58 0.37 0.88 1.28 1.02 -0.07 1.17 1.44 0.31 1.74 2.13 1.44
30 2 640.79 39.84 -0.683 26.32 -0.884 53.53 -0.019 42.46 -0.059 61.51 0.225 45.8 0.074 76.49 0.586 73.18 0.848 169.15 1.785 128.97 1.872 181.47 1.748 156.64 2.061 197.38 1.72 167.56 2.088 5 -0.11 2 5 0.19 5 0.47 5 0.73 2 4 5 0.63 2 0 5 0 1 0 1 2 4 -0.94 -1.06 -0.14 -0.34 -0.39 0.29 -0.11 -0.28 0.51 0.21 0.36 0.68 1.23 1.17 -0.04 1.4 1.7 0.23 1.72 2.09 1.71
31 1 613.74 34.43 -1.056 31.5 -0.584 50.1 -0.157 39.86 -0.196 52.38 -0.054 67.86 0.749 91.75 0.859 98.06 1.3 167.32 1.794 137.54 2.04 189.18 1.876 157.15 2.086 200.68 1.831 171.22 2.391 6 0.81 2 6 0.63 6 0.53 6 0.56 2 5 6 0.05 1 2 3 2 3 0 1 3 4 -1.27 -0.81 0.17 -0.45 -0.48 0.78 -0.37 0.27 0.99 0.44 0.72 1.27 1.21 1.32 0.5 1.53 1.72 0.99 1.83 2.39 2.54
32 2 640.79 51.6 -0.064 30.39 -0.619 107.99 1.05 38.94 -0.213 132.42 1.342 47.79 0.153 127 1.273 62.59 0.606 166.62 1.814 105.19 1.438 170.03 1.583 147.18 1.841 191.65 1.577 157.42 1.723 3 -0.46 2 3 -0.53 3 -0.9 3 -1.05 1 4 3 -1.15 1 2 2 1 2 0 0 1 0 -0.4 -0.86 -0.52 0.63 -0.51 -0.26 0.86 -0.21 0.17 0.81 0.16 0.61 1.2 0.82 0 1.25 1.5 0.56 1.58 1.72 1.69
33 1 747.26 32.17 -1.216 22.81 -1.137 40.88 -0.623 29.97 -0.664 43.16 -0.463 26.31 -0.884 52.42 0 59.57 0.535 124.51 1.218 82.18 1.04 148.57 1.278 127.11 1.423 172.63 1.277 154.03 1.641 5 0.5 2 5 0.43 5 -0.14 5 -0.16 1 4 5 -0.25 1 2 3 9 8 2 6 2 3 -1.42 -1.27 -0.77 -0.88 -0.88 -0.53 -0.76 -1.06 -1.11 -0.37 0.1 -0.34 0.79 0.5 -0.7 1.01 1.14 0.16 1.28 1.64 1.71
34 2 640.79 28.94 -1.482 22.07 -1.195 45.39 -0.367 35.47 -0.368 55.75 0.068 33.51 -0.454 84.71 0.677 65.94 0.707 119.18 1.186 89.24 1.165 151.83 1.335 131.96 1.465 178.46 1.355 153.86 1.637 3 -0.38 2 3 -0.18 3 -0.52 3 -0.26 1 3 3 -0.66 3 12 2 2 4 1 1 5 9 -1.64 -1.32 -0.03 -0.65 -0.65 0.32 -0.27 -0.72 0.23 0.34 0.23 0.63 0.74 0.6 -0.5 1.05 1.22 0.08 1.35 1.64 1.21
35 2 4613.25 -999 -999 -999 -999 26.54 -1.679 18.33 -1.521 32.33 -1.205 23.77 -1.063 48.17 -0.211 28.59 -0.743 76.53 0.568 50.51 0.253 87.67 0.512 55.42 0.144 155.23 1.08 88.81 0.593 3 -0.67 1 3 -0.8 3 -0.82 3 -0.75 1 3 3 -1.09 2 2 -999 -999 -999 0 -999 5 10 -999 -999 -999 -1.83 -1.59 -1.34 -1.41 -1.21 -1.34 -0.53 -0.94 -1.19 0.21 -0.13 -999 0.39 0 -1.51 1.08 0.59 1.14
36 1 600.95 32.58 -1.226 34.27 -0.448 62.23 0.232 45.69 0.068 78.35 0.635 54.35 0.375 130.92 1.313 95.53 1.26 168.64 1.93 127.23 1.795 182.21 1.793 155.97 2.033 205.56 2.076 169.19 2.195 9 2 2 9 1.74 9 1.8 9 1.76 1 4 9 1.65 2 14 7 1 0 1 1 1 1 -1.39 -0.69 -0.38 -0.09 -0.28 0.21 0.24 -0.03 0.55 0.85 0.69 1.08 1.23 1.15 0.05 1.41 1.69 0.72 2.08 2.19 2.25
37 2 598.77 39.88 -0.682 31.7 -0.55 60.38 0.191 45.55 0.064 85.33 0.759 51.43 0.284 99.63 0.955 37.33 -0.309 165.89 1.863 123.09 1.709 164.26 1.446 119.21 1.268 185.77 1.466 156.65 1.704 5 -0.04 2 5 -0.13 5 -0.29 5 -0.15 0 3 3 -0.59 2 5 2 3 1 0 0 3 7 -0.94 -0.8 -0.15 -0.14 -0.28 0.21 0.35 -0.11 0.58 0.54 -0.57 1.07 1.2 1.08 -0.27 1.18 1.02 0.31 1.47 1.7 1.63
38 2 579.16 41.63 -0.572 25.64 -0.93 63.27 0.249 46.12 0.084 66.07 0.347 46.21 0.056 90.62 0.842 67.03 0.732 128.02 1.321 114.6 1.586 164.88 1.413 142.44 1.739 163.23 1.165 152.16 1.599 6 1.17 2 6 1.16 6 1.21 6 1.18 3 6 6 1.07 3 12 6 1 2 0 0 1 2 -0.84 -1.1 -0.26 -0.07 -0.26 -0.04 0 -0.26 0.41 0.43 0.25 0.22 0.82 0.95 -0.88 1.18 1.41 -0.5 1.17 1.6 0.63
39 2 609.01 37.34 -0.855 27.47 -0.81 62.43 0.234 35.84 -0.358 86.62 0.751 37.72 -0.282 117.33 1.179 60.24 0.55 146.25 1.536 73.63 0.854 189.33 1.92 100.38 0.976 190.19 1.547 120.89 1.045 5 0.01 1 5 0.08 5 -0.6 5 -0.5 -999 -999 -999 -999 1 1 2 2 3 0 0 3 4 -1.09 -1 0.19 -0.09 -0.63 0.17 0.37 -0.56 0.51 0.72 0.11 1.01 0.99 0.37 -0.08 1.53 0.75 0.18 1.55 1.05 0.74
40 2 609.01 36.37 -0.919 35.99 -0.329 61.28 0.212 41.79 -0.087 58.03 0.127 46.76 0.111 93.12 0.893 53.69 0.352 167.21 1.827 100.73 1.323 182.32 1.794 139.36 1.624 202.44 1.904 146.08 1.475 3 -1.05 1 3 -1.08 -999 -999 3 -1.56 1 3 3 -1.66 2 10 7 2 4 1 2 8 12 -1.15 -0.63 0.18 -0.12 -0.41 0.52 -0.2 -0.24 0.55 0.46 -0.05 1.03 1.21 0.76 0.22 1.41 1.35 0.59 1.9 1.48 1
41 2 609.01 34.69 -1.037 22.84 -1.134 48.8 -0.2 31.13 -0.603 60.07 0.202 41.69 -0.091 87.37 0.738 37.5 -0.315 146.12 1.549 62.92 0.623 174.82 1.618 72.33 0.569 196.09 1.683 120.72 1.043 4 -0.26 2 4 -0.28 4 -0.35 4 -0.3 1 4 4 -0.39 1 1 3 5 7 3 5 3 5 -1.26 -1.27 -0.86 -0.5 -0.83 0.51 -0.15 -0.41 0.67 0.38 -0.57 0.9 0.99 0.17 -0.44 1.31 0.35 0.13 1.68 1.04 0.92
42 1 698.26 34.37 -1.06 21.26 -1.262 49.09 -0.189 29.82 -0.673 53.03 -0.018 37.69 -0.253 88.39 0.77 85.61 1.086 146.48 1.466 91.01 1.212 163.82 1.401 131.29 1.446 180.76 1.388 141.18 1.383 3 -0.43 2 3 -0.49 -999 -999 -999 -999 4 7 3 -0.63 1 0 3 3 3 2 2 4 3 -1.28 -1.37 0.28 -0.49 -0.89 0.4 -0.35 -0.56 0.59 0.4 0.55 1.59 0.99 0.62 -0.3 1.17 1.21 0.59 1.39 1.38 1.2
43 2 598.77 22.24 -2.306 13.59 -2.085 40.17 -0.663 19.38 -1.438 37.33 -0.852 15.97 -1.77 50.77 -0.129 38.16 -0.234 70.06 0.402 44.76 0.039 78.82 0.359 76.94 0.558 90.85 0.429 94.85 0.676 2 -1.03 1 2 -1.05 -999 -999 3 -1.91 2 5 3 -0.9 -999 -999 -999 -999 -999 1 3 2 5 -2.41 -2.04 -1.36 -0.92 -1.51 -1.13 -1.09 -1.79 -1.1 -0.43 -0.54 0.12 0.09 -0.31 -1.95 0.25 0.42 -1.83 0.43 0.68 -1.34
44 2 198.74 49.97 -0.157 41.16 -0.113 64.78 0.291 53.48 0.344 76.82 0.596 90.16 1.166 126.87 1.3 104.86 1.414 148.81 1.596 118.71 1.666 181.18 1.727 150.79 1.836 204.43 2.006 163.42 1.904 9 2.45 2 9 2.38 9 2.24 9 2.21 2 5 9 2.08 2 10 5 2 3 0 1 2 2 -0.46 -0.43 -0.15 -0.03 -0.05 0.28 0.22 0.61 0.82 0.81 0.81 1.19 1.02 1.01 -0.62 1.39 1.57 0.53 2.01 1.9 1.91
45 1 231.77 32.28 -1.207 24.84 -0.985 46.96 -0.277 38.88 -0.204 61.08 0.212 45.34 0.056 107.53 1.061 60.15 0.548 114.74 1.173 115.88 1.63 152.24 1.33 141.53 1.701 191.37 1.571 153 1.618 6 0.16 2 6 0.64 6 0.11 6 0.53 -999 -999 -999 -999 2 5 1 2 3 0 2 0 1 -1.41 -1.15 -0.71 -0.58 -0.51 -0.32 -0.12 -0.29 0.2 0.62 0.11 1.12 0.69 0.97 -0.32 1.05 1.39 0.14 1.57 1.62 1.55
46 1 231.77 57.5 0.11 52.82 0.323 84.71 0.73 65.3 0.687 86.36 0.76 54.93 0.393 124.51 1.247 88.61 1.139 174.09 1.944 117.05 1.623 195.22 2.053 157.44 2.077 192.05 1.586 167.13 2.065 3 -0.57 2 3 0.03 3 -0.41 3 -0.5 1 3 3 -0.6 2 5 0 3 5 2 1 4 2 -0.22 -0.07 1.01 0.34 0.22 0.9 0.37 -0.02 1.33 0.79 0.59 1.49 1.3 0.99 0.66 1.66 1.72 1.23 1.59 2.06 2.34
47 2 1502.45 45.39 -0.359 30.27 -0.649 54.24 -0.016 37.68 -0.309 63.12 0.254 43.74 -0.007 94.27 0.874 88.61 1.138 150.75 1.696 89.11 1.159 169.31 1.533 125.99 1.402 200.26 1.815 144.9 1.452 9 1.39 2 9 1.34 9 1.21 9 1.19 1 4 9 1.07 3 5 6 0 2 0 0 1 2 -0.65 -0.87 0.42 -0.31 -0.56 0.77 -0.07 -0.34 0.93 0.47 0.59 1.2 1.03 0.6 0.11 1.24 1.13 0.71 1.82 1.45 0.92
48 1 231.77 28.87 -1.487 33.97 -0.461 50.26 -0.145 42.66 -0.047 48.71 -0.203 42.19 -0.068 80.86 0.619 70.34 0.796 140.13 1.511 113.28 1.564 169.98 1.53 144.74 1.799 194.43 1.641 165.44 1.984 6 1.27 2 6 1.29 6 1.12 6 1.2 2 4 6 1.12 3 10 -999 16 -999 10 18 10 15 -1.64 -0.71 0.34 -0.45 -0.38 0.79 -0.51 -0.4 0.45 0.28 0.31 1.61 0.93 0.93 0.02 1.24 1.45 0.79 1.64 1.98 1.63
49 2 202.14 32.41 -1.199 19.8 -1.389 46.25 -0.311 40.82 -0.128 51.91 -0.068 41.74 -0.089 65.94 0.346 46.52 0.1 103.77 1.014 78.76 0.988 109.69 0.86 98.19 0.958 157.02 1.098 126.61 1.135 3 -0.34 2 3 -0.41 3 -0.48 3 -0.5 0 2 3 -0.88 2 3 1 3 4 0 1 3 2 -1.4 -1.47 -0.24 -0.61 -0.44 0.07 -0.39 -0.41 0.43 0 -0.25 0.56 0.58 0.45 -0.6 0.64 0.72 0.09 1.1 1.14 0.47
50 2 202.14 34.17 -1.075 28.08 -0.773 47.9 -0.233 40.09 -0.163 51.17 -0.11 37.85 -0.276 107.31 1.078 83.78 1.057 140.79 1.41 111.39 1.542 181.67 1.767 151.42 1.862 198.67 1.76 161.59 1.841 6 0.52 2 6 1.16 6 1.21 6 1.18 1 4 6 1.22 2 7 7 0 3 0 1 1 1 -1.29 -0.97 -0.01 -0.54 -0.47 0.25 -0.42 -0.55 0.59 0.62 0.52 0.91 0.94 0.9 0.21 1.4 1.58 0.43 1.76 1.84 2.23
51 2 172.62 46.37 -0.306 32.18 -0.549 69.55 0.43 42.73 -0.045 87.16 0.759 50.41 0.251 121.52 1.206 65.44 0.691 139.98 1.407 132.58 1.937 164.38 1.439 155.83 2.04 201.24 1.853 169.08 2.186 8 0.86 2 8 1.32 8 1.23 8 1.2 4 7 8 1.16 2 6 3 1 2 0 0 1 1 -0.6 -0.78 -0.31 0.08 -0.38 -0.37 0.38 -0.14 -0.11 0.76 0.22 0.52 0.93 1.23 -1.16 1.18 1.68 -0.52 1.85 2.19 1.09
